Date,META,AAPL,AMZN,NFLX,GOOGL
2023-11-06,313.0509033203125,176.99075317382812,139.74000549316406,43.4739990234375,129.1051788330078
2023-11-07,316.0446472167969,179.5483856201172,142.7100067138672,43.46099853515625,129.81884765625
2023-11-08,316.9963073730469,180.60504150390625,142.0800018310547,43.665000915527344,130.68121337890625
2023-11-09,317.759521484375,180.13104248046875,140.60000610351562,43.51499938964844,129.0952911376953
2023-11-10,325.9079895019531,184.31365966796875,143.55999755859375,44.7239990234375,131.4246063232422
2023-11-13,326.3243713378906,182.7316131591797,142.58999633789062,44.46200180053711,130.92904663085938
2023-11-14,333.38238525390625,185.34202575683594,145.8000030517578,44.8650016784668,132.445556640625
2023-11-15,329.8136901855469,185.90565490722656,143.1999969482422,46.194000244140625,133.436767578125
2023-11-16,331.28082275390625,187.58665466308594,142.8300018310547,46.69499969482422,135.7264862060547
2023-11-17,332.12347412109375,187.56686401367188,145.17999267578125,46.590999603271484,134.1207275390625
2023-11-20,337.010498046875,189.30715942382812,146.1300048828125,47.446998596191406,135.05245971679688
2023-11-21,334.04656982421875,188.50624084472656,143.89999389648438,47.494998931884766,135.76614379882812
2023-11-22,338.51727294921875,189.16873168945312,146.7100067138672,47.79999923706055,137.27276611328125
2023-11-24,335.28564453125,187.84371948242188,146.74000549316406,47.95600128173828,135.48858642578125
2023-11-27,331.78643798828125,187.6657257080078,147.72999572753906,47.91699981689453,135.21104431152344
2023-11-28,336.03900146484375,188.26889038085938,147.02999877929688,47.900001525878906,135.9940948486328
2023-11-29,329.30816650390625,187.2504425048828,146.32000732421875,47.71900177001953,133.8035430908203
2023-11-30,324.3020935058594,187.82395935058594,146.08999633789062,47.39699935913086,131.3651580810547
2023-12-01,321.992431640625,189.09950256347656,147.02999877929688,46.57400131225586,130.7010498046875
2023-12-04,317.23419189453125,187.30975341796875,144.83999633789062,45.38999938964844,128.13380432128906
2023-12-05,315.5192565917969,191.25511169433594,146.8800048828125,45.51499938964844,129.83871459960938
2023-12-06,314.6865234375,190.16746520996094,144.52000427246094,44.67300033569336,128.87722778320312
2023-12-07,323.7470397949219,192.09559631347656,146.8800048828125,45.20000076293945,135.7264862060547
2023-12-08,329.8533935546875,193.51947021484375,147.4199981689453,45.375999450683594,133.8035430908203
2023-12-11,322.4483642578125,191.0177764892578,145.88999938964844,45.98899841308594,132.1184539794922
2023-12-12,331.3105773925781,192.5306854248047,147.47999572753906,46.29999923706055,131.355224609375
2023-12-13,331.8260498046875,195.7443084716797,148.83999633789062,47.99800109863281,131.40481567382812
2023-12-14,330.269775390625,195.89260864257812,147.4199981689453,46.983001708984375,130.78036499023438
2023-12-15,332.00445556640625,195.35865783691406,149.97000122070312,47.20600128173828,131.43453979492188
2023-12-18,341.62005615234375,193.69744873046875,154.07000732421875,48.61199951171875,134.60641479492188
2023-12-19,347.31005859375,194.73570251464844,153.7899932861328,49.50199890136719,135.4489288330078
2023-12-20,346.2394714355469,192.64932250976562,152.1199951171875,48.926998138427734,137.1240692138672
2023-12-21,351.007568359375,192.50096130371094,153.83999633789062,49.1609992980957,139.18580627441406
2023-12-22,350.3136901855469,191.43307495117188,153.4199981689453,48.67599868774414,140.2464141845703
2023-12-26,351.7411804199219,190.88925170898438,153.41000366210938,49.11899948120117,140.27615356445312
2023-12-27,354.7150573730469,190.9881134033203,153.33999633789062,49.17900085449219,139.13624572753906
2023-12-28,355.2007751464844,191.41331481933594,153.3800048828125,49.05099868774414,138.99746704101562
2023-12-29,350.87872314453125,190.37509155273438,151.94000244140625,48.6879997253418,138.4622344970703
2024-01-02,343.2755126953125,183.56219482421875,149.92999267578125,46.849998474121094,136.95558166503906
2024-01-03,341.47137451171875,182.187744140625,148.47000122070312,47.0260009765625,137.69898986816406
2024-01-04,344.0982971191406,179.87393188476562,144.57000732421875,47.46699905395508,135.19119262695312
2024-01-05,348.8862609863281,179.15213012695312,145.24000549316406,47.40599822998047,134.5370330810547
2024-01-08,355.53790283203125,183.48309326171875,149.10000610351562,48.50299835205078,137.6197052001953
2024-01-09,354.3184509277344,183.06776428222656,151.3699951171875,48.20899963378906,139.71116638183594
2024-01-10,367.24505615234375,184.1060333251953,153.72999572753906,47.83300018310547,141.02944946289062
2024-01-11,366.4519958496094,183.5127410888672,155.17999267578125,49.222999572753906,140.83120727539062
2024-01-12,371.2300109863281,183.83905029296875,154.6199951171875,49.215999603271484,141.39617919921875
2024-01-16,364.26123046875,181.57469177246094,153.16000366210938,48.124000549316406,141.23760986328125
2024-01-17,365.16326904296875,180.63531494140625,151.7100067138672,48.03300094604492,140.22659301757812
2024-01-18,372.85577392578125,186.51873779296875,153.5,48.53099822998047,142.21888732910156
2024-01-19,380.1120300292969,189.41590881347656,155.33999633789062,48.29499816894531,145.09339904785156
2024-01-22,378.4565734863281,191.7198486328125,154.77999877929688,48.57099914550781,144.7068634033203
2024-01-23,381.8468017578125,192.9954071044922,156.02000427246094,49.21900177001953,145.74761962890625
